#schema: gunit book list v1 — columns are PIPE-separated (|)
#  1 title    2 author    3 status    4 md5/source    5 date    6 calibre_id|se-empty
#  status: (blank)=pending  downloaded  nomatch  failed  quota_blocked  tagged  queued/downloading/completed (legacy)
#  col4: Anna's md5, or se:<author>/<title> for Standard Ebooks rows
#  col6: calibre book id on DONE rows; the literal "se-empty" on quota_blocked/nomatch rows means SE was already searched and had nothing (skip re-search)
#  lines beginning with # are comments; "#tag: NAME[, NAME...]" sets the calibre tags for this whole list
#tag: Alex prize, Adult, Young Adult

The Girls Who Grew Big|Leila Mottley|tagged|463e696020861197a9028f6a19783bcf|2026-06-16T15:10|1883
What Kind of Paradise|Janelle Brown|tagged||2026-06-16T15:10
The Favorites|Layne Fargo|tagged||2026-06-16T15:10
Hole in the Sky|Daniel H. Wilson|tagged||2026-06-16T15:11
These Heathens|Mia McKenzie|tagged||2026-06-16T15:11
The Whyte Python World Tour|Travis Kennedy|tagged|d11d1efb9cd6eabb1db7ecedf43aae65|2026-06-16T15:11|1893
Plum|Andy Anderegg|tagged||2026-06-16T15:11
Harriet Tubman: Live in Concert|Bob the Drag Queen|tagged||2026-06-22T04:11
Sonita: My Fight Against Tyranny and My Escape to Freedom|Sonita Alizada|tagged|3a6715038a49e306279811d3a9ba714f|2026-06-16T15:12|1874
Insectopolis: A Natural History|Peter Kuper|nomatch||2026-06-16T17:28|se-empty
I Was a Teenage Slasher|Stephen Graham Jones|tagged|eeaa4303827e738fb5e132500edb61c4|2026-06-16T15:12|1895
How to Solve Your Own Murder|Kristen Perrin|tagged|fc634c0f55cf3b8453be3c598af73198|2026-06-16T15:12|1896
The Dead Cat Tail Assassins|P. Djèlí Clark|tagged|f25aba531f87f8428237a6094cabb7c4|2026-06-16T15:12|1897
Daughters of Shandong|Eve J. Chung|tagged||2026-06-16T15:12
The Witchstone|Henry H. Neff|tagged||2026-06-16T15:13
The Witch of Colchis|Rosie Hewlett|tagged||2026-06-16T15:13
Beautiful People: My Thirteen Truths About Disability|Melissa Blake|tagged|fa80118252460764913b3339dd844204|2026-06-16T15:13|1878
Woman, Life, Freedom|Marjane Satrapi|nomatch||2026-06-16T17:29|se-empty
Big Jim and the White Boy|David F. Walker|nomatch||2026-06-16T17:31|se-empty
I Feel Awful, Thanks|Lara Pickle|nomatch||2026-06-16T17:32|se-empty
Chain-Gang All-Stars|Nana Kwame Adjei-Brenyah|tagged|f605da01edb3049d194370d22cbf2e64|2026-06-16T15:13|1913
Starter Villain|John Scalzi|tagged|e4c889ee1c072e87ccf78ede5e9a9b07|2026-06-16T15:13|1898
