#schema: gunit book list v1 — columns are PIPE-separated (|)
#  1 title    2 author    3 status    4 md5/source    5 date    6 calibre_id|se-empty
#  status: (blank)=pending  downloaded  nomatch  failed  pdf-only  quota_blocked  tagged  queued/downloading/completed (legacy)
#  col4: Anna's md5, or se:<author>/<title> for Standard Ebooks rows
#  col6: calibre book id on DONE rows; the literal "se-empty" on quota_blocked/nomatch/pdf-only rows means SE was already searched and had nothing (skip re-search)
#  lines beginning with # are comments; "#tag: NAME[, NAME...]" sets the calibre tags for this whole list
#columns: Title | Author
#tag: BookTok



A Court of Mist and Fury (A Court of Thorns and Roses, #2)|Sarah J. Maas|tagged|0302c28ddbaf2610ebe7ffa9c74a62d8|2026-06-22T12:46|2151
The Cruel Prince (The Folk of the Air, #1)|Holly Black|tagged|027cc61e4c0b9d1f7e4506f811a07858|2026-06-22T12:46|2152
Six of Crows (Six of Crows, #1)|Leigh Bardugo|tagged|1a6797bb476f4abc127b32f3ca83fd4e|2026-06-22T12:47|2153
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)|Sarah J. Maas|tagged||2026-06-22T12:47
Bright Burns the Flame (Bright Burns the Flame, #1)|Angelina J. Steffort|nomatch||2026-06-23T01:40|se-empty
Rebecca Yarros|Fourth Wing (The Empyrean, #1)|tagged|10811aaf897391fb70c40549fec7608c|2026-06-23T18:12|2363
Shatter Me (Shatter Me, #1)|Tahereh Mafi|tagged|146a6b4fdf673fc26d62d6b5453d3bc4|2026-06-22T12:48|2173
The Lightning Thief (Percy Jackson and the Olympians, #1)|Rick Riordan|tagged||2026-06-22T12:48
A Court of Wings and Ruin (A Court of Thorns and Roses, #3)|Sarah J. Maas|tagged|189593313a3d167414f3b338512037be|2026-06-22T12:49|2174
The Song of Achilles|Madeline Miller|tagged|13af0116ccfe8003f57d1341c7b71219|2026-06-22T12:49|2175
The Inheritance Games (The Inheritance Games, #1)|Jennifer Lynn Barnes|tagged|00441e32ccb03929198805888a134d2e|2026-06-23T00:30|2290
A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)|Holly Jackson|tagged||2026-06-23T00:30
The Seven Husbands of Evelyn Hugo|Taylor Jenkins Reid|tagged||2026-06-23T00:30
Caraval (Caraval, #1)|Stephanie Garber|tagged|0228372c2da977eb942181cebc882780|2026-06-22T12:49|2176
From Blood and Ash (Blood and Ash, #1)|Jennifer L. Armentrout|tagged|10f511508890ba2c9e50de5827865369|2026-06-22T12:49
The Wicked King (The Folk of the Air, #2)|Holly Black|tagged||2026-06-23T00:31
Sarah J. Maas|House of Earth and Blood (Crescent City, #1)|tagged|04bebfb0e2fff14357c1b4e55c1f3ddf|2026-06-23T18:12|2356
Holly Black|The Queen of Nothing (The Folk of the Air, #3)|tagged|3158929e1c5ecc79437357582df77ff1|2026-06-23T18:12|2358
Powerless (The Powerless Trilogy, #1)|Lauren Roberts|tagged|54c5b7c27facffdaf2d8166421b53921|2026-06-23T00:31|2208
Shadow and Bone (Shadow and Bone, #1)|Leigh Bardugo|tagged|04bdacf1a9c8bffb84e4173d3b59b59c|2026-06-22T12:50|2155
It Ends with Us (It Ends with Us, #1)|Colleen Hoover|tagged|2cd908079c6a8805457a4f367b1dc159|2026-06-22T12:50|2156
The Selection (The Selection, #1)|Kiera Cass|tagged|05b530d831170ee6c6e20be389a7ad1d|2026-06-22T12:50|2157
Throne of Glass (Throne of Glass, #1)|Sarah J. Maas|tagged|1ebb1b0d4501c7ea05404ecab3b56d12|2026-06-22T12:51
Divergent (Divergent, #1)|Veronica Roth|tagged||2026-06-22T12:52
A Court of Silver Flames (A Court of Thorns and Roses, #5)|Sarah J. Maas|tagged|657c39f34fc3730cb1b6dc51b0e10d15|2026-06-22T12:52|2159
A Court of Frost and Starlight (A Court of Thorns and Roses, #4)|Sarah J. Maas|tagged|0ec91949f0486783a8e1ab3ee664763c|2026-06-22T12:52|2160
Red Queen (Red Queen, #1)|Victoria Aveyard|tagged|05718e9771f6c84aa35eea2bcf749987|2026-06-22T12:52|2161
Better Than the Movies (Better Than the Movies, #1)|Lynn Painter|tagged|59ab0f824d446864222eaea918f9853e|2026-06-22T12:52|2203
Circe|Madeline Miller|tagged||2026-06-23T00:31
Terms and Conditions Apply: Social Media Apps: Promises Vs Reality|R. Suleman|nomatch||2026-06-23T00:12|se-empty
Once Upon a Broken Heart (Once Upon a Broken Heart, #1)|Stephanie Garber|tagged|18577547ef536e59cf7a37ae1ba15d9f|2026-06-22T12:52|2178
Kingdom of Ash (Throne of Glass, #7)|Sarah J. Maas|tagged|06c5e637f2e1498b7063795f5710b688|2026-06-22T12:53|2179
The Book Thief|Markus Zusak|tagged||2026-06-22T12:54
The Invisible Life of Addie LaRue|V.E. Schwab|tagged|562601f2ddb74f222d1d509c9bf6257b|2026-06-22T12:54|2180
Punk 57|Penelope Douglas|tagged||2026-06-22T12:54
The Wrath and the Dawn (The Wrath and the Dawn, #1)|Renée Ahdieh|tagged|177892f22f5bd6629dda7d49c61a6a58|2026-06-22T12:54|2181
Cassandra Clare|City of Bones (The Mortal Instruments, #1)|tagged|25b89d7e4b4868c7016ab9e54cc854ac|2026-06-23T18:12|2352
Heartless|Marissa Meyer|tagged|0a9003f3db8bb9f697369c00e67fa24d|2026-06-22T12:55|2182
Sarah J. Maas|Crown of Midnight (Throne of Glass, #2)|tagged|186e04b5c291529191ccc000920113ba|2026-06-23T18:12|2353
A Kingdom of Flesh and Fire (Blood and Ash, #2)|Jennifer L. Armentrout|tagged|06a332c2ce8511c4d05f9b7534350f5b|2026-06-22T12:56|2163
Verity|Colleen Hoover|tagged|1e89fd1ff5c86976a876e60f906ef803|2026-06-22T12:56|2184
Rebecca Ross|Divine Rivals (Letters of Enchantment, #1)|tagged|0f4d572fc47738bd17d512d45ac96b6f|2026-06-23T18:12|2354
The Prison Healer (The Prison Healer, #1)|Lynette Noni|tagged|15b295d6907a4889be8fcefce8c5c8f6|2026-06-22T12:57|2185
Scarlett St. Clair|A Touch of Darkness (Hades x Persephone, #1)|tagged|2656b242d740b02b0771b478499aa53a|2026-06-23T18:12|2359
Legendborn (Legendborn #1)|Tracy Deonn|tagged|1b204f9f436dc35db0b7b5f3312eda24|2026-06-22T12:58|2165
S.A. Chakraborty|The City of Brass (The Daevabad Trilogy, #1)|tagged|1c6f024b1413aa2621fcc7ef7e216a42|2026-06-23T18:12|2364
The Poppy War (The Poppy War, #1)|R.F. Kuang|tagged|4f0a42d6400ca3a04e5612590ec51553|2026-06-22T12:58|2188
Assistant to the Villain (Assistant to the Villain, #1)|Hannah Nicole Maehrer|tagged|0f4c95e0092b4825e0d77d175d79a43c|2026-06-22T12:58|2189
Alexandra Christo|To Kill a Kingdom (Hundred Kingdoms, #1)|tagged|2369b980f43d2bf7d512b79f75e8d959|2026-06-23T18:13|2349
Serpent & Dove (Serpent & Dove, #1)|Shelby Mahurin|tagged||2026-06-23T00:33
The Night Circus|Erin Morgenstern|tagged|24c8934269c3fb430d26907459b17ee3|2026-06-22T12:58|2166
Crooked Kingdom (Six of Crows, #2)|Leigh Bardugo|tagged||2026-06-23T00:34
Legend (Legend, #1)|Marie Lu|tagged|0a921dc5a96891ff8fd8c2d7fce59c55|2026-06-22T12:58|2167
Empire of Storms (Throne of Glass, #5)|Sarah J. Maas|tagged|0cc9f7fd9ef94902bccc51c7dd77b7c4|2026-06-22T12:59|2168
We Were Liars|E. Lockhart|tagged|13ba9c24ad82bec35a908ba21614765c|2026-06-22T12:59|2169
Holly Jackson|Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)|tagged|1c4d27d2f0002def81a62c709cef245e|2026-06-23T18:13|2345
As Good As Dead (A Good Girl's Guide to Murder, #3)|Holly Jackson|tagged||2026-06-23T00:35
Sarah J. Maas|Heir of Fire (Throne of Glass, #3)|tagged|1651dbbfadbc6566c850596159c58ea8|2026-06-23T18:13|2346
Hafsah Faizal|We Hunt the Flame (Sands of Arawiya, #1)|tagged|08f53c74b723acb564aa0c88da56ce32|2026-06-23T18:13|2350
Sarah J. Maas|Queen of Shadows (Throne of Glass, #4)|tagged|2818456251b03d5141c2136a9580b7fb|2026-06-23T18:14|2361
Sarah J. Maas|Tower of Dawn (Throne of Glass, #6)|tagged|022e89108d7f1e2e5293ad608edebde3|2026-06-23T18:15|2170
Babel: An Arcane History|R.F. Kuang|tagged||2026-06-23T02:03
Chloe Walsh|Binding 13 (Boys of Tommen, #1)|tagged||2026-06-23T13:32
The Silent Patient|Alex Michaelides|tagged|086d3ca333de4b52008b913a74bb2e36|2026-06-22T13:00|2204
