#schema: gunit book list v1 — columns are PIPE-separated (|)
#  1 title    2 author    3 status    4 md5/source    5 date    6 calibre_id|se-empty
#  status: (blank)=pending  downloaded  nomatch  failed  pdf-only  quota_blocked  tagged  queued/downloading/completed (legacy)
#  col4: Anna's md5, or se:<author>/<title> for Standard Ebooks rows
#  col6: calibre book id on DONE rows; the literal "se-empty" on quota_blocked/nomatch/pdf-only rows means SE was already searched and had nothing (skip re-search)
#  lines beginning with # are comments; "#tag: NAME[, NAME...]" sets the calibre tags for this whole list
# Nobel prizewinners (couple of picks for each)

#tag: Nobel, Prizewinners
#columns: Title | Author



Stanzas and Poems|Sully Prudhomme|nomatch||2026-06-21T20:15|se-empty
The History of Rome|Theodor Mommsen|tagged|e904a42254a9a638ab3c1152f9684617|2026-06-08T21:06|1799
A Happy Boy|Bjørnstjerne Bjørnson|tagged|866f309c2ed70e5972c070ad6030e536|2026-06-23T03:03
The Fisher Maiden|Bjørnstjerne Bjørnson|failed|1cfc32093fcc6cdb18b83c8234e1ab9c|2026-06-23T02:39
Mirèio|Frédéric Mistral|tagged|se:frederic-mistral/mireio/harriet-waters-preston|2026-06-08T21:06
The Great Galeoto|José Echegaray|failed|2a2b8c399bd6fe92bbf7eaeeae03212a|2026-06-23T02:40
Quo Vadis|Henryk Sienkiewicz|tagged|se:henryk-sienkiewicz/quo-vadis/jeremiah-curtin|2026-06-08T21:06
Odes|Giosuè Carducci|nomatch||2026-06-21T20:16|se-empty
Hymns|Giosuè Carducci|nomatch||2026-06-21T20:18|se-empty
The Jungle Book|Rudyard Kipling|tagged|se:rudyard-kipling/the-jungle-book|2026-06-08T21:06
Kim|Rudyard Kipling|tagged|se:rudyard-kipling/kim|2026-06-08T21:06
The Meaning and Value of Life|Rudolf Christoph Eucken|nomatch||2026-06-21T20:19|se-empty
The Wonderful Adventures of Nils|Selma Lagerlöf|tagged|se:selma-lagerlof/the-wonderful-adventures-of-nils/velma-swanston-howard|2026-06-08T21:07
Paul Heyse|Children of the World|tagged|97479d8c4e9836aff2d4a81d96b9b57b|2026-06-25T22:46
The Blue Bird|Maurice Maeterlinck|tagged|se:maurice-maeterlinck_georgette-leblanc/the-blue-bird/alexander-teixeira-de-mattos|2026-06-08T21:07
Maurice Maeterlinck|Pelléas and Mélisande|tagged||2026-06-23T13:33
The Weavers|Gerhart Hauptmann|imported_but_unfound|d76c7f058c251761a4cad08bc0edc0da|2026-06-26T08:29
Before Dawn|Gerhart Hauptmann|imported_but_unfound|4d217a66945c7e52688d9ade7ebbb9db|2026-06-26T08:29
Gitanjali|Rabindranath Tagore|tagged|se:rabindranath-tagore/gitanjali|2026-06-08T21:07
Jean-Christophe|Romain Rolland|tagged|se:romain-rolland/jean-christophe/gilbert-cannan|2026-06-08T21:07
The Charles Men|Verner von Heidenstam|failed|189fcdd470f4fbb7282491a59defa6ad|2026-06-23T02:45
The Pilgrim Kamanita|Karl Gjellerup|tagged|se:karl-gjellerup/the-pilgrim-kamanita/john-e-logie|2026-06-08T21:07
Lucky Per|Henrik Pontoppidan|imported_but_unfound|da04d945165cb71253f8064a9a8a88eb|2026-06-26T08:29
Olympian Spring|Carl Spitteler|nomatch||2026-06-17T12:19|se-empty
Hunger|Knut Hamsun|tagged|se:knut-hamsun/hunger/george-egerton|2026-06-08T21:07
Growth of the Soil|Knut Hamsun|tagged|se:knut-hamsun/growth-of-the-soil/w-w-worster|2026-06-08T21:07
Penguin Island|Anatole France|tagged|se:anatole-france/penguin-island/a-w-evans|2026-06-08T21:08
The Red Room|Anatole France|nomatch||2026-06-21T20:22|se-empty
The Bonds of Interest|Jacinto Benavente|failed|4db548c4abd4f3fb453392e705bed54a|2026-06-21T20:26
The Tower|W. B. Yeats|tagged|0dbcfbc9210a2bdecf945931d37cf75b|2026-06-22T13:33
The Winding Stair and Other Poems|W. B. Yeats|tagged|69bc06a7fc1fbedde96c6fe41530df57|2026-06-22T13:34|2123
The Peasants|Władysław Reymont|tagged|se:wladyslaw-reymont/the-peasants/michael-henry-dziewicki|2026-06-08T21:08
Pygmalion|George Bernard Shaw|tagged|se:george-bernard-shaw/pygmalion|2026-06-08T21:08
Saint Joan|George Bernard Shaw|tagged|se:george-bernard-shaw/saint-joan|2026-06-08T21:08
Reeds in the Wind|Grazia Deledda|failed|2baa63f5b6d5956586711c6ca836f061|2026-06-21T20:28
Creative Evolution|Henri Bergson|tagged||2026-06-22T13:34
Kristin Lavransdatter|Sigrid Undset|tagged|1c9ef65f19a8ec71f187f73dc56730a0|2026-06-22T13:34|2103
The Magic Mountain|Thomas Mann|tagged||2026-06-08T21:08
Buddenbrooks|Thomas Mann|tagged||2026-06-08T21:08
Main Street|Sinclair Lewis|tagged|se:sinclair-lewis/main-street|2026-06-08T21:09
Babbitt|Sinclair Lewis|tagged|se:sinclair-lewis/babbitt|2026-06-08T21:09
Arcadia Borealis|Erik Axel Karlfeldt|failed|e4636cdd3b24a7b7897fed734d63ddad|2026-06-21T20:31
The Forsyte Saga|John Galsworthy|tagged|se:john-galsworthy/the-forsyte-saga|2026-06-08T21:09
The Village|Ivan Bunin|tagged|se:ivan-bunin/the-village/isabel-f-hapgood|2026-06-08T21:09
Dry Valley|Ivan Bunin|nomatch||2026-06-21T20:32|se-empty
Six Characters in Search of an Author|Luigi Pirandello|tagged|se:luigi-pirandello/six-characters-in-search-of-an-author/edward-storer|2026-06-08T21:09
Long Day's Journey into Night|Eugene O'Neill|tagged|26705e0440d62a24a9137eb8c1c48adb|2026-06-22T13:34|2104
The Iceman Cometh|Eugene O'Neill|tagged|73f51ac3c6036475284057730e9d4da1|2026-06-22T13:34
The Thibaults|Roger Martin du Gard|failed|b02f0a702c0ff65e5b6b98800f3d7989|2026-06-21T20:35
The Good Earth|Pearl S. Buck|tagged||2026-06-08T21:10
The Maid Silja|Frans Eemil Sillanpää|nomatch||2026-06-21T20:36|se-empty
The Long Journey|Johannes V. Jensen|failed|65892cc26f4e7487afb504edfe3cd09f|2026-06-21T20:41
Desolación|Gabriela Mistral|failed|117469edbeac92520550cdcb2c6362f1|2026-06-21T20:45
Steppenwolf|Hermann Hesse|tagged|se:hermann-hesse/steppenwolf/basil-creighton|2026-06-08T21:10
Siddhartha|Hermann Hesse|tagged||2026-06-08T21:10
The Counterfeiters|André Gide|tagged|se:andre-gide/the-counterfeiters/dorothy-bussy|2026-06-08T21:10
The Immoralist|André Gide|tagged||2026-06-22T13:35
The Waste Land|T. S. Eliot|tagged||2026-06-08T21:10
Four Quartets|T. S. Eliot|tagged||2026-06-22T13:35
The Sound and the Fury|William Faulkner|tagged||2026-06-08T21:11
As I Lay Dying|William Faulkner|tagged|se:william-faulkner/as-i-lay-dying|2026-06-08T21:11
History of Western Philosophy|Bertrand Russell|tagged|04471fb74582314656189d256680c553|2026-06-22T13:35|2127
Principia Mathematica|Bertrand Russell|failed|2f63b00e305534b03e4f5e85e0bd5bc4|2026-06-21T20:49
Barabbas|Pär Lagerkvist|tagged|134385e3495830f2b1c27a7826e1cbf0|2026-06-22T13:36|2101
The Dwarf|Pär Lagerkvist|tagged||2026-06-22T13:36
Thérèse Desqueyroux|François Mauriac|imported_but_unfound|e80a0d03b7e4cbadbc9ab0fa17c7304f|2026-06-26T08:29
The Second World War|Winston Churchill|tagged|6e91763db0e3ca66eb814db1d1df0ebe|2026-06-22T13:37|1833
The Old Man and the Sea|Ernest Hemingway|tagged||2026-06-08T21:11
A Farewell to Arms|Ernest Hemingway|tagged||2026-06-08T21:11
Independent People|Halldór Laxness|tagged|1b3e339a7092daf985620e48695c71ba|2026-06-22T13:37|2128
Platero and I|Juan Ramón Jiménez|imported_but_unfound|482a3ddef88198412eea30128d74e61d|2026-06-26T08:29
The Stranger|Albert Camus|tagged||2026-06-08T21:11
The Plague|Albert Camus|tagged||2026-06-22T13:39
Doctor Zhivago|Boris Pasternak|imported_but_unfound|63f0e84c0a39dbd261276e40266c2f5c|2026-06-26T08:30
And Suddenly It's Evening|Salvatore Quasimodo|nomatch||2026-06-21T20:51|se-empty
Anabasis|Saint-John Perse|imported_but_unfound|20982e224e5c307b69bbfaefa7494d5d|2026-06-26T08:30
Exile|Saint-John Perse|imported_but_unfound|f6a60dcf332a710b7552ef25ffb40c1f|2026-06-26T08:30
The Bridge on the Drina|Ivo Andrić|tagged|06e50b7befb83a3470341a350343efad|2026-06-23T03:04
The Grapes of Wrath|John Steinbeck|tagged||2026-06-08T21:12
East of Eden|John Steinbeck|tagged||2026-06-08T21:12
Mythistorema|Giorgos Seferis|nomatch||2026-06-21T20:53|se-empty
Nausea|Jean-Paul Sartre|tagged|cdb4308c6e47786dc4cd2df857a529f0|2026-06-22T13:42|1840
No Exit|Jean-Paul Sartre|failed|39aed5e171cf20232c481f533773c444|2026-06-21T20:58
And Quiet Flows the Don|Mikhail Sholokhov|imported_but_unfound|5c7984b76097cdcac0291ac8f0f3cf94|2026-06-26T08:30
The Bridal Canopy|Shmuel Yosef Agnon|imported_but_unfound|18d48e61ea5c32e5ac7e48426681c796|2026-06-26T08:30
O the Chimneys|Nelly Sachs|imported_but_unfound|408609f235764ae9389bf9d99db803a5|2026-06-26T08:30
Men of Maize|Miguel Ángel Asturias|tagged|4215c284aeee53facd7a7c4ce3f94bea|2026-06-22T13:45|2129
El Señor Presidente|Miguel Ángel Asturias|failed|4de0ca12935917bdd06d09786e15b8a9|2026-06-23T02:49
Snow Country|Yasunari Kawabata|tagged|413ed2c76df05df9dd200b264baecdc8|2026-06-22T13:46|2130
Thousand Cranes|Yasunari Kawabata|tagged|1dbd162ae0d57cba7e38b895619afa10|2026-06-22T13:46|2131
Waiting for Godot|Samuel Beckett|tagged|026da820a4b7c1a194702cbc1de6862e|2026-06-22T13:46|2132
Endgame|Samuel Beckett|tagged|5e0a50859b723a26912cda431185b1b6|2026-06-22T13:46|2133
The Gulag Archipelago|Aleksandr Solzhenitsyn|tagged||2026-06-08T21:12
One Day in the Life of Ivan Denisovich|Aleksandr Solzhenitsyn|tagged||2026-06-08T21:12
Twenty Love Poems and a Song of Despair|Pablo Neruda|tagged|0ff33635261e31637176de2981a09c20|2026-06-22T13:46|2105
Canto General|Pablo Neruda|failed|79fe23f06f51f503a91d84d0f5df0375|2026-06-21T21:01
The Clown|Heinrich Böll|tagged|01b5dd7de07d4bb85281eed6076ccd28|2026-06-22T13:46|2134
